stock,headline,sentiment,score
RELIANCE,"'30,000 drones a year': African start-up looks to emulate Ukrainian UAV revolution by taking a leaf out of Apple's playbook",neutral,-0.0642
RELIANCE,Technical Call: Reliance Industries - BUY,neutral,-0.0642
RELIANCE,How Pakistan’s solar boom is shielding it from worst of Iran war crisis,neutral,-0.0642
RELIANCE,NYC's top economic agency still leaderless under Mamdani. Business leaders are worried.,neutral,-0.0642
RELIANCE,How Claude Code Channels Finally Untether AI Workflows from Your Desktop,neutral,-0.0642
TCS,India's TCS beats fourth quarter view as North America holds up,positive,0.3914
TCS,"Wipro, Infosys ADRs fall over 2% after TCS reports Q4 results. What to expect on Friday?",positive,0.3914
TCS,TCS announces salary hike for employees across all grades starting April 1,positive,0.3914
TCS,"TCS Q4 Results: Profit rises 12% YoY to Rs 13,718 crore; co declares Rs 31/share dividend",positive,0.3914
TCS,TCS beats fourth-quarter revenue estimates,positive,0.3914
HDFCBANK,"SEBI plans joint initiative to upskill independent directors, deepen corporate governance",neutral,0.0316
HDFCBANK,AT-1 bond mis-selling case: HDFC Bank acts against 15 executives for alleged role,neutral,0.0316
HDFCBANK,Telecom earnings likely to stay subdued in Q4,neutral,0.0316
HDFCBANK,Non-life insurers seen holding up better than life peers,neutral,0.0316
HDFCBANK,RBI's move to scrap investment buffer could lift banks' capital,neutral,0.0316
INFY,Non-life insurers seen holding up better than life peers,positive,0.3199
INFY,Telecom earnings likely to stay subdued in Q4,positive,0.3199
INFY,RBI's move to scrap investment buffer could lift banks' capital,positive,0.3199
INFY,MONSTA X Set 2026 North American “THE X : NEXUS” Tour Dates,positive,0.3199
INFY,"Bendigo Bank IT restructure continues with Infosys, Genpact deals",positive,0.3199
ICICIBANK,Bank Nifty surges after RBI policy decision: Why did bank stocks rally on unchanged repo rate?,positive,0.1748
ICICIBANK,"Bank FDs earn up to 7.75%! Check latest interest rate in April 2026—compare SBI, HDFC, ICICI and Yes Bank fixed deposits",positive,0.1748
ICICIBANK,"Nifty Bank Prediction Today – April 8, 2026: Nifty Bank futures: Tide shifts in favour of bulls",positive,0.1748
ICICIBANK,NCLAT upholds NCLT order on distribution of funds from a resolution plan,positive,0.1748
ICICIBANK,"Changes coming to HDFC Bank’s mid-tier credit cards: BizPower, Diners Club Privilege and Regalia Gold. Some Good, Some Very Good.",positive,0.1748
HINDUNILVR,"M-cap of 6 of top 10 most valued firms drops nearly by Rs 65,000 cr; Bharti Airtel biggest laggard",positive,0.2724
HINDUNILVR,Hindustan Unilever to focus on regaining market share: Global CEO Fernando Fernandez,positive,0.2724
HINDUNILVR,40% of Nifty 50 firms faced EPS cuts amid March selloff: Check which stocks saw biggest cuts and upgrades,positive,0.2724
HINDUNILVR,Large corporates and the sustainability transition of MSMEs,positive,0.2724
HINDUNILVR,"India's protein boom: Growth, risks & need for sustainable sourcing",positive,0.2724
ITC,Crude oil price crash: 25 stocks which benefit the most from Iran war ceasefire,neutral,-0.0918
ITC,Large corporates and the sustainability transition of MSMEs,neutral,-0.0918
ITC,A unique Z-shaped tetramer mediates the autoinhibition of waterfowl STING,neutral,-0.0918
ITC,Federal Circuit Affirms ITC Refusal to Block Import of Marine Air Conditioner Products,neutral,-0.0918
ITC,"Stock Market Live: Sensex drops 370 pts, Nifty tops 22,800 as US-Iran tensions persist",neutral,-0.0918
SBIN,Iran Is Not Blocking the Strait of Hormuz. It's Running a Toll Booth,neutral,0.0198
SBIN,UK intelligence censored report on global warming and homeland security,neutral,0.0198
SBIN,"'Rate action unlikely in FY27; if any, it could be a rise,' say economists",neutral,0.0198
SBIN,"UPSC Essentials | Daily subject-wise quiz : Economy MCQs on repo rate, Gini coefficient and more (Week 157)",neutral,0.0198
SBIN,India aims for 60% non-fossil power by 2035,neutral,0.0198
BAJFINANCE,Movers & Shakers: Stocks that will see action this week,positive,0.1961
BAJFINANCE,"Corporate FD rates in April 2026: Bajaj Finance, Shriram Finance, Mahindra Finance among top NBFCs",positive,0.1961
BAJFINANCE,"Aditya Shah sees PSU banks, SBI and HDFC as key picks amid volatility",positive,0.1961
BAJFINANCE,"M-cap of 6 of top 10 most valued firms drops nearly by Rs 65,000 cr; Bharti Airtel biggest laggard",positive,0.1961
BAJFINANCE,"Sensex surges 2,550 points, Nifty crosses 23,800 as US-Iran ceasefire sparks risk-on rally",positive,0.1961
ASIANPAINT,Leaked Goldman Sachs Document Paints Bleak Picture For World Oil Supplies,neutral,0.0244
ASIANPAINT,Who Is Black Comedy For?,neutral,0.0244
ASIANPAINT,Crude oil price crash: 25 stocks which benefit the most from Iran war ceasefire,neutral,0.0244
ASIANPAINT,"Asian Paints, MRF, other paint and tyre stocks rally up to 9% as oil prices crash below $95",neutral,0.0244
ASIANPAINT,"The $1,000-a-Day Mouse: Why Disney Parks are Booming While the Global Economy Bleeds",neutral,0.0244
APPLE,"If You Invested In Apple Stock Instead Of Buying iPhones Each Year, Here's How Much You'd Have Today",neutral,-0.0895
APPLE,2026 Swift Student Challenge: Three Apps Created by Young Developers,neutral,-0.0895
APPLE,Apple seeks internal data from Samsung in South Korea in ongoing antitrust case,neutral,-0.0895
APPLE,"Baton Rouge woman arrested, accused of stealing money from elderly LaPlace couple",neutral,-0.0895
APPLE,‘Full time bad decision factory’: 2 arrested after drugs found in Trinity County house,neutral,-0.0895
MICROSOFT,The MacBook Neo is the best thing to happen to Windows in years,neutral,-0.0172
MICROSOFT,Bill Gates set to testify before US Congress in Epstein investigation,neutral,-0.0172
MICROSOFT,Anthropic is launching a new AI model for cybersecurity,neutral,-0.0172
MICROSOFT,"Microsoft Abruptly Terminates VeraCrypt Account, Halting Windows Updates",neutral,-0.0172
MICROSOFT,Microsoft says Copilot isn't just 'for entertainment purposes' after its terms of service language goes viral,neutral,-0.0172
GOOGLE,Alphabet CEO Sundar Pichai says 'AI shift' makes this a great time to invest in new start-ups,positive,0.3704
GOOGLE,William O’Neil Reinstates Alphabet With a Buy: Is the Search Giant’s Self-Driving Future Finally Getting Its Due?,positive,0.3704
GOOGLE,"Investors push Amazon, Microsoft, and Google to disclose data center water and power consumption — more than a dozen resolutions ask for transparency ahead of annual investor meetings",positive,0.3704
GOOGLE,Alphabet Climbs 4% on Waymo’s Nashville Expansion: The Self-Driving Bet Is Starting to Pay Off,positive,0.3704
GOOGLE,TCW Relative Value Large Cap Fund Sold Alphabet Inc (GOOG) After Meeting Valuation Characteristics,positive,0.3704
AMAZON,Amazon Pulls Support for Perfectly Fine Older Kindles,negative,-0.2381
AMAZON,Amazon is ending support for older Kindles and Kindle Fires,negative,-0.2381
AMAZON,Delta Becomes Third Airline to Hike Bag Fees as the Iran War Makes Jet Fuel More Expensive,negative,-0.2381
AMAZON,Amazon’s Starlink competitor Leo gets a new date,negative,-0.2381
AMAZON,"Amazon to end support for older Kindles, prompting user outcry",negative,-0.2381
NVIDIA,Anthropic is launching a new AI model for cybersecurity,neutral,-0.036
NVIDIA,"China is winning one AI race, the US another - but either might pull ahead",neutral,-0.036
NVIDIA,OpenAI pauses UK data centre deal over energy costs and regulation,neutral,-0.036
NVIDIA,Andy Jassy is so bullish on Amazon's chips that he took a rare shot at Nvidia,neutral,-0.036
NVIDIA,Apple unveils shocking Nvidia move,neutral,-0.036
TESLA,"Tesla is un-canceling its plan to build a smaller, cheaper EV: report",positive,0.3418
TESLA,Tesla Is Reportedly Working on a Cheaper Electric SUV Model,positive,0.3418
TESLA,Intel stock jumps after it joins Elon Musk's Terafab chip-building moonshot,positive,0.3418
TESLA,Elon Musk says Tesla only has 'a few hundred' Model S and X in stock as the vehicles near end of life cycle,positive,0.3418
TESLA,Tesla Rolls Out Incredible Model Y Lease Deals For April,positive,0.3418
META,Meta Is Pulling Down Ads That Seek to Recruit Clients for Social Media Addiction Litigation,neutral,-0.0932
META,"Ex-Facebook Employee Investigated for Downloading 30,000 Private Photos",neutral,-0.0932
META,"Ex-Meta worker investigated for downloading 30,000 private Facebook photos",neutral,-0.0932
META,Meta’s First AI Model From Its Superintelligence Lab Doesn’t Exactly Spark Joy,neutral,-0.0932
META,"Meta Unveils New AI Model Developed by Costly, New Superintelligence Labs",neutral,-0.0932
BERKSHIRE,"Berkshire Hathaway Suffered Its Longest Losing Streak in Over 7 Years — But Warren Buffett Said, ‘Berkshire Doesn’t Need Me… Everything Will Be the Same’",neutral,-0.1205
BERKSHIRE,"★ OpenAI Announces $122 Billion Additional ‘Committed Capital’, and Announces Their ‘Superapp’ Plan for the Future",neutral,-0.1205
